thread_url,user,ts,supports_count
https://decidim.barcelona.cat/proposals/construir-un-nou-casal-de-barri-a-torre-baro,Ajuntament de Barcelona,2016-01-29T00:00:00Z,3
https://decidim.barcelona.cat/proposals/acabar-la-remodelacio-de-la-trinitat-nova,Ajuntament de Barcelona,2016-01-29T00:00:00Z,6
https://decidim.barcelona.cat/proposals/construir-un-nou-casal-de-barri-a-la-trinitat-nova,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
https://decidim.barcelona.cat/proposals/extensio-del-programa-salut-als-barris-als-quatres-barris-del-districte,Ajuntament de Barcelona,2016-01-29T00:00:00Z,6
https://decidim.barcelona.cat/proposals/urbanitzar-el-carrer-d-orista-a-vallbona,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
https://decidim.barcelona.cat/proposals/urbanitzar-l-avinguda-de-borbo,Ajuntament de Barcelona,2016-01-29T00:00:00Z,3
https://decidim.barcelona.cat/proposals/pla-de-mobilitat-del-districte,Ajuntament de Barcelona,2016-01-29T00:00:00Z,3
https://decidim.barcelona.cat/proposals/adaptar-el-pla-de-mobilitat-a-les-persones-amb-diversitat-funcional,Ajuntament de Barcelona,2016-01-29T00:00:00Z,33
https://decidim.barcelona.cat/proposals/superilles-2d011c11-3d98-4b98-baa5-f2d2b73a70da,Ajuntament de Barcelona,2016-01-29T00:00:00Z,10
https://decidim.barcelona.cat/proposals/camins-escolars-amb-inclusio-d-escoles-bressol,Ajuntament de Barcelona,2016-01-29T00:00:00Z,5
https://decidim.barcelona.cat/proposals/pla-de-millora-de-l-eficiencia-energetica-dels-equipaments,Ajuntament de Barcelona,2016-01-29T00:00:00Z,3
https://decidim.barcelona.cat/proposals/instal-lar-plaques-fotovoltaiques-a-l-espai-public,Ajuntament de Barcelona,2016-01-29T00:00:00Z,53
https://decidim.barcelona.cat/proposals/revisar-i-actualitzar-el-compromis-ciutada-per-la-sostenibilitat-al-districte,Ajuntament de Barcelona,2016-01-29T00:00:00Z,4
https://decidim.barcelona.cat/proposals/elaborar-el-pla-de-transparencia-del-districte,Ajuntament de Barcelona,2016-01-29T00:00:00Z,41
https://decidim.barcelona.cat/proposals/millora-dels-equipaments-de-salut,Ajuntament de Barcelona,2016-01-29T00:00:00Z,1
https://decidim.barcelona.cat/proposals/pla-de-treball-de-millora-de-la-participacio,Ajuntament de Barcelona,2016-01-29T00:00:00Z,29
https://decidim.barcelona.cat/proposals/promocionar-i-revisar-els-plans-d-accio-comunitaria,Ajuntament de Barcelona,2016-01-29T00:00:00Z,2
https://decidim.barcelona.cat/proposals/nou-model-de-gestio-civica-adequat-a-la-realitat-de-les-entitats-gestores,Ajuntament de Barcelona,2016-01-29T00:00:00Z,6
https://decidim.barcelona.cat/proposals/ampliar-el-model-de-gestio-civica-als-equipaments-esportius-de-proximitat,Ajuntament de Barcelona,2016-01-29T00:00:00Z,12
https://decidim.barcelona.cat/proposals/regulacio-del-mercat-de-lloguer,oscar,2016-02-01T00:00:00Z,283
https://decidim.barcelona.cat/proposals/limites-contaminantes-mas-restrictivos-en-linea-de-la-oms,David LH,2016-02-01T00:00:00Z,254
https://decidim.barcelona.cat/proposals/recuperem-el-borsi-anomenada-tambe-la-llotja,Bubibu,2016-02-01T00:00:00Z,36
https://decidim.barcelona.cat/proposals/piscinas-municipales-libres-de-cloro,David LH,2016-02-01T00:00:00Z,89
https://decidim.barcelona.cat/proposals/prohibir-las-bolsas-de-plastico-en-toda-la-ciudad,oscar,2016-02-01T00:00:00Z,150
https://decidim.barcelona.cat/proposals/revisio-i-repavimentacio-de-les-voreres-dels-carrers-sicilia-i-napols,ivanbcn,2016-02-01T00:00:00Z,2
