thread_id,ts,supports_total_count
https://decide.madrid.es/proposals/1185,2015-09-17T00:00:00Z,135
https://decide.madrid.es/proposals/1186,2015-09-17T00:00:00Z,3
https://decide.madrid.es/proposals/1187,2015-09-17T00:00:00Z,86
https://decide.madrid.es/proposals/1188,2015-09-17T00:00:00Z,363
https://decide.madrid.es/proposals/1189,2015-09-17T00:00:00Z,42
https://decide.madrid.es/proposals/119,2015-09-15T00:00:00Z,1160
https://decide.madrid.es/proposals/1190,2015-09-17T00:00:00Z,156
https://decide.madrid.es/proposals/1191,2015-09-17T00:00:00Z,48
https://decide.madrid.es/proposals/1192,2015-09-17T00:00:00Z,27
https://decide.madrid.es/proposals/1193,2015-09-17T00:00:00Z,33
https://decide.madrid.es/proposals/1194,2015-09-17T00:00:00Z,15
https://decide.madrid.es/proposals/1195,2015-09-17T00:00:00Z,26
https://decide.madrid.es/proposals/1196,2015-09-17T00:00:00Z,93
https://decide.madrid.es/proposals/1197,2015-09-17T00:00:00Z,23
https://decide.madrid.es/proposals/1198,2015-09-17T00:00:00Z,104
https://decide.madrid.es/proposals/1199,2015-09-17T00:00:00Z,43
https://decide.madrid.es/proposals/12,2015-09-15T00:00:00Z,1114
https://decide.madrid.es/proposals/1200,2015-09-17T00:00:00Z,60
https://decide.madrid.es/proposals/1201,2015-09-17T00:00:00Z,105
https://decide.madrid.es/proposals/1202,2015-09-17T00:00:00Z,9
https://decide.madrid.es/proposals/1203,2015-09-17T00:00:00Z,90
https://decide.madrid.es/proposals/1204,2015-09-17T00:00:00Z,12
https://decide.madrid.es/proposals/1205,2015-09-17T00:00:00Z,40
https://decide.madrid.es/proposals/1206,2015-09-17T00:00:00Z,136
https://decide.madrid.es/proposals/1207,2015-09-17T00:00:00Z,244
https://decide.madrid.es/proposals/1208,2015-09-17T00:00:00Z,11
https://decide.madrid.es/proposals/1209,2015-09-17T00:00:00Z,54
https://decide.madrid.es/proposals/1210,2015-09-17T00:00:00Z,52
https://decide.madrid.es/proposals/1211,2015-09-17T00:00:00Z,31
https://decide.madrid.es/proposals/1212,2015-09-17T00:00:00Z,92
https://decide.madrid.es/proposals/1213,2015-09-17T00:00:00Z,24
https://decide.madrid.es/proposals/1214,2015-09-17T00:00:00Z,64
https://decide.madrid.es/proposals/1215,2015-09-17T00:00:00Z,14
https://decide.madrid.es/proposals/1216,2015-09-17T00:00:00Z,86
https://decide.madrid.es/proposals/1217,2015-09-17T00:00:00Z,21
https://decide.madrid.es/proposals/1218,2015-09-17T00:00:00Z,36
https://decide.madrid.es/proposals/1219,2015-09-17T00:00:00Z,32
https://decide.madrid.es/proposals/122,2015-09-15T00:00:00Z,1257
https://decide.madrid.es/proposals/1220,2015-09-17T00:00:00Z,71
https://decide.madrid.es/proposals/1221,2015-09-17T00:00:00Z,50
https://decide.madrid.es/proposals/1222,2015-09-17T00:00:00Z,8
https://decide.madrid.es/proposals/1223,2015-09-17T00:00:00Z,11
https://decide.madrid.es/proposals/1224,2015-09-17T00:00:00Z,72
https://decide.madrid.es/proposals/1225,2015-09-17T00:00:00Z,36
https://decide.madrid.es/proposals/1226,2015-09-17T00:00:00Z,92
https://decide.madrid.es/proposals/1227,2015-09-17T00:00:00Z,20
https://decide.madrid.es/proposals/1228,2015-09-17T00:00:00Z,33
https://decide.madrid.es/proposals/1229,2015-09-17T00:00:00Z,5
https://decide.madrid.es/proposals/1230,2015-09-17T00:00:00Z,24
https://decide.madrid.es/proposals/1231,2015-09-17T00:00:00Z,52
https://decide.madrid.es/proposals/1232,2015-09-17T00:00:00Z,33
https://decide.madrid.es/proposals/1233,2015-09-17T00:00:00Z,65
https://decide.madrid.es/proposals/1234,2015-09-17T00:00:00Z,220
